Brand,total_products,avg_rating,total_reviews,avg_reviews,avg_price,max_price,min_price,per,avg_rating_nor,avg_reviews_nor,avg_price_nor,total_productst_nor
aomeiqi,2,4.65,43,21.5,11.205,11.5,10.91,8.146971363395658e-05,-0.03323926183415644,-0.25734658449944753,-0.559202745653307,-0.25245607578464013
aonijie,1,4.7,15,15.0,11.8,11.8,11.8,4.073485681697829e-05,0.14627742909845234,-0.3125336839779183,-0.5408447589424352,-0.278002152709314
aoqussqoa,20,4.84,395,19.75,17.107,21.97,12.7,0.0008146971363395658,0.6489241637097576,-0.27220464974365116,-0.3771038589851296,0.2073733088594896
aotlet,7,4.471,175,25.0,12.853,17.12,0.0,0.00028514399771884804,-0.6759090153728992,-0.22763045401104015,-0.5083557505280688,-0.12472569116127075
aotorr,3,4.3,173,57.667,30.757,36.75,19.37,0.00012220457045093486,-1.2898560983624243,0.04972292732176069,0.04404995379369506,-0.22690999885996624
apache,1,4.7,44,44.0,0.0,0.0,0.0,4.073485681697829e-05,0.14627742909845234,-0.06631431707397169,-0.9049191172420784,-0.278002152709314
apis,2,4.8,24,12.0,12.295,12.4,12.19,8.146971363395658e-05,0.5053108109636699,-0.33800465296798177,-0.525572148149357,-0.25245607578464013
aptro,14,4.514,1366,97.571,34.082,98.41,0.0,0.0005702879954376961,-0.5215246611708545,0.3885207761815912,0.1466387030603318,0.054096847311446365
aqtivaqua,6,4.467,483,80.5,17.642,20.56,15.7,0.0002444091409018697,-0.6902703506475095,0.24358247230513355,-0.3605970978249339,-0.1502717680859446
aquarilla,72,4.446,14396,199.944,29.12,54.65,0.0,0.0029329096908224366,-0.7656673608392052,1.2577006123215126,-0.006457649980585968,1.535769308942531
arainlo,1,4.8,12,12.0,22.6,22.6,22.6,4.073485681697829e-05,0.5053108109636699,-0.33800465296798177,-0.2076241598207278,-0.278002152709314
aran_woollen_mills,1,5.0,11,11.0,92.19,92.19,92.19,4.073485681697829e-05,1.2233775746941082,-0.34649497596466955,1.9394889413718293,-0.278002152709314
arbily,1,3.7,400,400.0,0.0,0.0,0.0,4.073485681697829e-05,-3.444056389553736,2.95624066974689,-0.9049191172420784,-0.278002152709314
arbor,4,5.0,7,1.75,57.677,85.0,15.73,0.00016293942726791315,1.2233775746941082,-0.42503046368403186,0.8746331508637285,-0.20136392193529237
arcteryx,204,4.646,2634,12.912,261.682,749.0,26.19,0.008309910790663571,-0.0476005971087668,-0.3302614783950025,7.168954291958536,4.907851462999482
arctic_strom,2,4.6,46,23.0,21.425,21.62,21.23,8.146971363395658e-05,-0.21275595276676842,-0.2446111000044158,-0.24387732685480246,-0.25245607578464013
arcticdry,1,4.5,80,80.0,32.8,32.8,32.8,4.073485681697829e-05,-0.571789334631986,0.23933731080678963,0.1070841837942179,-0.278002152709314
ard,2,4.3,580,290.0,19.81,20.42,19.2,8.146971363395658e-05,-1.2898560983624243,2.022305140111231,-0.293706147927169,-0.25245607578464013
arena,9,4.811,147,16.333,41.132,73.48,21.95,0.0003666137113528046,0.5448044829688444,-0.30121608342333345,0.3641577052647796,-0.073633537311923
ariat,3,5.0,20,6.667,105.443,111.3,96.07,0.00012220457045093486,1.2233775746941082,-0.38328354550931787,2.3483938117570133,-0.22690999885996624
armada,1,5.0,1,1.0,215.93,215.93,215.93,4.073485681697829e-05,1.2233775746941082,-0.4313982059315477,5.757333102049613,-0.278002152709314
arran_wool,1,5.0,8,8.0,54.87,54.87,54.87,4.073485681697829e-05,1.2233775746941082,-0.371965944954733,0.7880266488512625,-0.278002152709314
arsenal_f.c.,26,4.704,1780,68.462,26.669,39.54,0.0,0.0010591062772414355,0.16063876437305952,0.14137596407100567,-0.08208021372570679,0.3606497704075328
arsuxeo,17,4.729,255,15.0,31.024,39.67,19.14,0.0006924925658886309,0.25039710983936553,-0.3125336839779183,0.05228790749420392,0.13073507808546797
arteesol,16,4.944,175,10.938,12.608,17.93,6.35,0.0006517577090716526,1.0223188808495856,-0.3470213759904642,-0.515914921526663,0.1051890011607941
artist_seyo,6,4.583,211,35.167,18.392,21.13,16.16,0.0002444091409018697,-0.2737916276838537,-0.14130934010371513,-0.337456778441482,-0.1502717680859446
aruny,7,4.686,507,72.429,14.427,19.8,7.96,0.00028514399771884804,0.09601275563732087,0.1750570753988662,-0.4597919335819977,-0.12472569116127075
asab,1,4.1,40,40.0,8.29,8.29,8.29,4.073485681697829e-05,-2.0079228620928626,-0.10027560906072294,-0.6491414536569902,-0.278002152709314
ashworth,1,4.9,11,11.0,38.44,38.44,38.44,4.073485681697829e-05,0.8643441928288906,-0.34649497596466955,0.2810993855577762,-0.278002152709314
asics,1,4.0,1,1.0,41.56,41.56,41.56,4.073485681697829e-05,-2.36695624395808,-0.4313982059315477,0.3773631141929363,-0.278002152709314
aspire_wear,2,5.0,22,11.0,29.095,29.76,28.43,8.146971363395658e-05,1.2233775746941082,-0.34649497596466955,-0.00722899396003443,-0.25245607578464013
asquith_fox,6,4.833,98,16.333,29.348,31.85,26.86,0.0002444091409018697,0.6237918269791934,-0.30121608342333345,0.0005770071119833478,-0.1502717680859446
assassins_creed,4,4.775,128,32.0,53.73,60.08,48.23,0.00016293942726791315,0.41555246549736713,-0.16819819303422545,0.7528533633884156,-0.20136392193529237
asvivid,35,4.586,1138,32.514,23.066,61.21,12.73,0.00142571998859424,-0.2630206262278967,-0.1638341670139279,-0.19324630804380977,0.5905644627295977
asvp_shop,6,4.6,400,66.667,16.692,17.17,16.27,0.0002444091409018697,-0.21275595276676842,0.12613583429195102,-0.38990816904397296,-0.1502717680859446
athleta,20,4.765,64,3.2,52.963,123.93,27.93,0.0008146971363395658,0.3796491273108428,-0.4127194953388345,0.7291885300989389,0.2073733088594896
atlas_athlete,2,4.5,120,60.0,9.68,19.36,0.0,8.146971363395658e-05,-0.571789334631986,0.06953085087303335,-0.6062547283996592,-0.25245607578464013
attikee,4,4.85,97,24.25,19.582,20.67,17.08,0.00016293942726791315,0.6848275018962787,-0.23399819625855603,-0.30074080501973827,-0.20136392193529237
attraco,233,4.583,13371,57.386,23.211,33.03,15.84,0.00949122163835594,-0.2737916276838537,0.04733714655969142,-0.1887725129630091,5.648687693815025
audelle,2,4.85,25,12.5,4.48,8.96,0.0,8.146971363395658e-05,0.6848275018962787,-0.33375949146963785,-0.7666942761249257,-0.25245607578464013
auifor,1,4.4,48,48.0,5.54,5.54,5.54,4.073485681697829e-05,-0.9308227164972035,-0.032353025087220426,-0.7339892913963137,-0.278002152709314
aurique,83,4.647,1617,19.482,24.498,41.99,0.0,0.003380993115809198,-0.04401026329011341,-0.27448005630676353,-0.14906372490100553,1.8167761551139434
auwod,1,5.0,7,7.0,36.05,36.05,36.05,4.073485681697829e-05,1.2233775746941082,-0.38045626795142085,0.20735890112250946,-0.278002152709314
auxo,11,4.609,149,13.545,20.959,31.23,13.91,0.00044808342498676117,-0.1804429483988975,-0.32488710393809905,-0.2582551786317206,-0.022541383462575258
auyug,1,4.6,27,27.0,25.22,25.22,25.22,4.073485681697829e-05,-0.21275595276676842,-0.21064980801766453,-0.12678731077453592,-0.278002152709314
ava_lingerie,3,5.0,24,8.0,18.373,20.86,14.26,0.00012220457045093486,1.2233775746941082,-0.371965944954733,-0.3380429998658627,-0.22690999885996624
avento,1,4.7,14,14.0,13.45,13.45,13.45,4.073485681697829e-05,0.14627742909845234,-0.32102400697460615,-0.48993605629884107,-0.278002152709314
aventura,3,3.233,5,1.667,44.063,49.73,35.73,0.00012220457045093486,-5.120742282864309,-0.42573516049275695,0.4545900734153097,-0.22690999885996624
aviatrix,1,4.6,22,22.0,102.1,102.1,102.1,4.073485681697829e-05,-0.21275595276676842,-0.2531014230011036,2.2452496948251737,-0.278002152709314
avity,1,4.6,18,18.0,12.28,12.28,12.28,4.073485681697829e-05,-0.21275595276676842,-0.28706271498785485,-0.5260349545370261,-0.278002152709314
avoalre,4,4.825,71,17.75,35.578,37.47,33.18,0.00016293942726791315,0.5950691564299759,-0.28918529573702684,0.19279592679052393,-0.20136392193529237
avon,7,4.529,208,29.714,20.7,23.2,18.84,0.00028514399771884804,-0.46766965389107285,-0.18760707140465382,-0.266246302258806,-0.12472569116127075
awdis,114,4.479,10983,96.342,9.063,24.25,0.0,0.004643773677135525,-0.6471863448236816,0.3780861692186619,-0.6252914978124458,2.6087045397788335
